Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,&nbsp;-&nbsp;,CAGR
"Revenue","104,896","93,953","92,546","76,143","65,083","64,335","-","12.87%"
"YoY %","11.65%","1.52%","21.54%","16.99%","1.16%","-","-",""
"Horiz. %","163.05%","146.04%","143.85%","118.35%","101.16%","100.00%","-",""
"PBT","10,020","8,456","11,506","6,829","6,126","8,024","-","12.75%"
"YoY %","18.50%","-26.51%","68.49%","11.48%","-23.65%","-","-",""
"Horiz. %","124.88%","105.38%","143.39%","85.11%","76.35%","100.00%","-",""
"Tax","-2,692","-2,128","-2,927","-2,347","-2,239","-1,945","-","14.58%"
"YoY %","-26.50%","27.30%","-24.71%","-4.82%","-15.12%","-","-",""
"Horiz. %","138.41%","109.41%","150.49%","120.67%","115.12%","100.00%","-",""
"NP","7,328","6,328","8,579","4,482","3,887","6,079","-","12.16%"
"YoY %","15.80%","-26.24%","91.41%","15.31%","-36.06%","-","-",""
"Horiz. %","120.55%","104.10%","141.13%","73.73%","63.94%","100.00%","-",""
"NP to SH","7,310","6,217","8,339","4,482","3,887","6,079","-","11.10%"
"YoY %","17.58%","-25.45%","86.06%","15.31%","-36.06%","-","-",""
"Horiz. %","120.25%","102.27%","137.18%","73.73%","63.94%","100.00%","-",""
"Tax Rate","26.87    %","25.17    %","25.44    %","34.37    %","36.55    %","24.24    %","-   %","1.62%"
"YoY %","6.75%","-1.06%","-25.98%","-5.96%","50.78%","-","-",""
"Horiz. %","110.85%","103.84%","104.95%","141.79%","150.78%","100.00%","-",""
"Total Cost","97,568","87,625","83,967","71,661","61,196","58,256","-","12.95%"
"YoY %","11.35%","4.36%","17.17%","17.10%","5.05%","-","-",""
"Horiz. %","167.48%","150.41%","144.13%","123.01%","105.05%","100.00%","-",""
"Net Worth","50,550","50,550","46,337","37,912","32,015","0","-","3,757.86%"
"YoY %","0.00%","9.09%","22.22%","18.42%","4,006,788.75%","-","-",""
