Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"29/08/2019","1.00","0.88","-0.12 (12.00%)","HOLD","MIDF"
"29/08/2019","1.00","0.70","-0.30 (30.00%)","SELL","HLG"
"28/08/2019","1.00","0.91","-0.09 (9.00%)","HOLD","PUBLIC BANK"
"28/08/2019","1.00","0.88","-0.12 (12.00%)","HOLD","MIDF"
"28/08/2019","1.00","0.81","-0.19 (19.00%)","SELL","KENANGA"
"28/08/2019","0.99","0.50","-0.49 (49.49%)","SELL","HLG"
"28/08/2019","1.00","0.96","-0.04 (4.00%)","HOLD","AffinHwang"
"21/06/2019","1.06","0.91","-0.15 (14.15%)","HOLD","PUBLIC BANK"
"03/06/2019","0.935","0.50","-0.435 (46.52%)","SELL","HLG"
"29/05/2019","0.89","0.88","-0.01 (1.12%)","HOLD","MIDF"

