Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,CAGR
"Revenue","426,348","448,471","462,854","482,272","456,488","380,776","370,078","245,889","0","-"
"YoY %","-4.93%","-3.11%","-4.03%","5.65%","19.88%","2.89%","50.51%","0.00%","-",""
"Horiz. %","173.39%","182.39%","188.24%","196.13%","185.65%","154.86%","150.51%","100.00%","-",""
"PBT","117,424","92,147","40,000","107,980","107,212","106,184","277,486","57,607","0","-"
"YoY %","27.43%","130.37%","-62.96%","0.72%","0.97%","-61.73%","381.69%","0.00%","-",""
"Horiz. %","203.84%","159.96%","69.44%","187.44%","186.11%","184.32%","481.69%","100.00%","-",""
"Tax","-25,644","-22,805","-12,294","-13,638","-19,832","-20,677","-33,833","-10,633","0","-"
"YoY %","-12.45%","-85.50%","9.85%","31.23%","4.09%","38.89%","-218.19%","0.00%","-",""
"Horiz. %","241.17%","214.47%","115.62%","128.26%","186.51%","194.46%","318.19%","100.00%","-",""
"NP","91,780","69,342","27,706","94,342","87,380","85,507","243,653","46,974","0","-"
"YoY %","32.36%","150.28%","-70.63%","7.97%","2.19%","-64.91%","418.70%","0.00%","-",""
"Horiz. %","195.38%","147.62%","58.98%","200.84%","186.02%","182.03%","518.70%","100.00%","-",""
"NP to SH","55,494","35,439","12,441","75,495","55,174","63,365","245,420","48,359","0","-"
"YoY %","56.59%","184.86%","-83.52%","36.83%","-12.93%","-74.18%","407.50%","0.00%","-",""
"Horiz. %","114.75%","73.28%","25.73%","156.11%","114.09%","131.03%","507.50%","100.00%","-",""
"Tax Rate","21.84    %","24.75    %","30.74    %","12.63    %","18.50    %","19.47    %","12.19    %","18.46    %","-     %","-"
"YoY %","-11.76%","-19.49%","143.39%","-31.73%","-4.98%","59.72%","-33.97%","0.00%","-",""
"Horiz. %","118.31%","134.07%","166.52%","68.42%","100.22%","105.47%","66.03%","100.00%","-",""
"Total Cost","334,568","379,129","435,148","387,930","369,108","295,269","126,425","198,915","0","-"
"YoY %","-11.75%","-12.87%","12.17%","5.10%","25.01%","133.55%","-36.44%","0.00%","-",""
"Horiz. %","168.20%","190.60%","218.76%","195.02%","185.56%","148.44%","63.56%","100.00%","-",""
"Net Worth","1,358,499","1,358,499","1,358,499","1,680,249","1,644,499","1,580,150","1,315,600","1,079,649","-","-"
"YoY %","0.00%","0.00%","-19.15%","2.17%","4.07%","20.11%","21.85%","0.00%","-",""
