Column1,AQR,T4Q,30/09/18,30/09/17,30/09/16,30/09/15,&nbsp;-&nbsp;,CAGR
"NOSH","1,000,000","1,000,000","1,000,000","1,000,000","860,109","192,571","-","73.08%"
"YoY %","0.00%","0.00%","0.00%","16.26%","346.64%","-","-",""
"Horiz. %","519.29%","519.29%","519.29%","519.29%","446.64%","100.00%","-",""
"NP Margin","0.00    %","0.00    %","0.00    %","0.00    %","0.00    %","0.00    %","-   %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"ROE","-47.92    %","-92.76    %","-47.92    %","-30.49    %","-24.18    %","-15.91    %","-   %","44.37%"
"YoY %","48.34%","-93.57%","-57.17%","-26.10%","-51.98%","-","-",""
"Horiz. %","301.19%","583.03%","301.19%","191.64%","151.98%","100.00%","-",""
"RPS","-","-","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"EPS","-0.81","-1.58","-0.81","-0.76","-0.80","-0.70","-","4.98%"
"YoY %","48.73%","-95.06%","-6.58%","5.00%","-14.29%","-","-",""
"Horiz. %","115.71%","225.71%","115.71%","108.57%","114.29%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"NAPS","0.0170","0.0170","0.0170","0.0250","0.0330","0.0440","-","-27.15%"
"YoY %","0.00%","0.00%","-32.00%","-24.24%","-25.00%","-","-",""
"Horiz. %","38.64%","38.64%","38.64%","56.82%","75.00%","100.00%","-",""
"RPS","-","-","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"EPS","-0.81","-1.58","-0.81","-0.76","-0.69","-0.13","-","83.91%"
"YoY %","48.73%","-95.06%","-6.58%","-10.14%","-430.77%","-","-",""
"Horiz. %","623.08%","1,215.38%","623.08%","584.62%","530.77%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"NAPS","0.0170","0.0170","0.0170","0.0250","0.0284","0.0085","-","25.97%"
"YoY %","0.00%","0.00%","-32.00%","-11.97%","234.12%","-","-",""
"Horiz. %","200.00%","200.00%","200.00%","294.12%","334.12%","100.00%","-",""
"Date","AQR","T4Q","28/09/18","29/09/17","30/09/16","-","-","-"
"Price","0.4800","0.4800","0.4800","0.4550","0.4150","0.0000","-","-"
"P/RPS","0.00","0.00","0.00","0.00","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"P/EPS","-58.92","-30.44","-58.92","-59.69","-52.00","0.00","-","-"
"YoY %","-93.56%","48.34%","1.29%","-14.79%","0.00%","-","-",""
"Horiz. %","113.31%","58.54%","113.31%","114.79%","100.00%","-","-",""
"EY","-1.70","-3.29","-1.70","-1.68","-1.92","0.00","-","-"
"YoY %","48.33%","-93.53%","-1.19%","12.50%","0.00%","-","-",""
"Horiz. %","88.54%","171.35%","88.54%","87.50%","100.00%","-","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"P/NAPS","28.24","28.24","28.24","18.20","12.58","0.00","-","-"
"YoY %","0.00%","0.00%","55.16%","44.67%","0.00%","-","-",""
"Horiz. %","224.48%","224.48%","224.48%","144.67%","100.00%","-","-",""
"Date","AQR","T4Q","26/11/18","15/11/17","16/11/16","-","-","-"
"Price","0.4850","0.4850","0.4850","0.4600","0.4250","0.0000","-","-"
"P/RPS","0.00","0.00","0.00","0.00","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"P/EPS","-59.54","-30.76","-59.54","-60.34","-53.26","0.00","-","-"
"YoY %","-93.56%","48.34%","1.33%","-13.29%","0.00%","-","-",""
"Horiz. %","111.79%","57.75%","111.79%","113.29%","100.00%","-","-",""
"EY","-1.68","-3.25","-1.68","-1.66","-1.88","0.00","-","-"
"YoY %","48.31%","-93.45%","-1.20%","11.70%","0.00%","-","-",""
"Horiz. %","89.36%","172.87%","89.36%","88.30%","100.00%","-","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"P/NAPS","28.53","28.53","28.53","18.40","12.88","0.00","-","-"
"YoY %","0.00%","0.00%","55.05%","42.86%","0.00%","-","-",""
"Horiz. %","221.51%","221.51%","221.51%","142.86%","100.00%","-","-",""

