Column1,AQR,T4Q,30/09/18,30/09/17,30/09/16,30/09/15,30/09/14,30/09/13,30/09/12,30/09/11,30/09/10,30/09/09,CAGR
"Revenue","1,095,504","1,109,675","1,081,701","1,068,834","1,265,873","1,041,898","806,522","688,219","555,924","342,016","289,217","370,159","12.65%"
"YoY %","-1.28%","2.59%","1.20%","-15.57%","21.50%","29.18%","17.19%","23.80%","62.54%","18.26%","-21.87%","-",""
"Horiz. %","295.95%","299.78%","292.23%","288.75%","341.98%","281.47%","217.89%","185.93%","150.19%","92.40%","78.13%","100.00%",""
"PBT","151,022","132,775","126,140","193,353","304,669","137,314","162,560","134,453","100,087","47,190","41,883","57,743","9.06%"
"YoY %","13.74%","5.26%","-34.76%","-36.54%","121.88%","-15.53%","20.90%","34.34%","112.09%","12.67%","-27.47%","-",""
"Horiz. %","261.54%","229.94%","218.45%","334.85%","527.63%","237.80%","281.52%","232.85%","173.33%","81.72%","72.53%","100.00%",""
"Tax","-44,022","-48,557","-51,118","-65,849","-90,491","-40,684","-42,938","-27,306","-24,633","-9,502","-10,948","-15,013","14.57%"
"YoY %","9.34%","5.01%","22.37%","27.23%","-122.42%","5.25%","-57.25%","-10.85%","-159.24%","13.21%","27.08%","-",""
"Horiz. %","293.23%","323.43%","340.49%","438.61%","602.75%","270.99%","286.01%","181.88%","164.08%","63.29%","72.92%","100.00%",""
"NP","107,000","84,218","75,022","127,504","214,178","96,630","119,622","107,147","75,454","37,688","30,935","42,730","6.45%"
"YoY %","27.05%","12.26%","-41.16%","-40.47%","121.65%","-19.22%","11.64%","42.00%","100.21%","21.83%","-27.60%","-",""
"Horiz. %","250.41%","197.09%","175.57%","298.39%","501.24%","226.14%","279.95%","250.75%","176.58%","88.20%","72.40%","100.00%",""
"NP to SH","96,818","76,172","69,027","130,477","205,041","86,961","104,684","103,969","77,409","38,015","30,578","41,655","5.77%"
