F.Y.,Ann. Date,Quarter,#,Revenue,PBT,NP,NP to SH,Div,Net Worth,Div Payout %,NP Margin,ROE,NOSH,RPS,Adj. RPS,EPS,Adj. EPS,DPS,Adj. DPS,NAPS,Adj. NAPS,QoQ,YoY,EOQ Date,EOQ Price,EOQ P/RPS,EOQ P/EPS,EOQ P/NAPS,EOQ EY,EOQ DY,ANN Date,ANN Price,ANN P/RPS,ANN P/EPS,ANN P/NAPS,ANN EY,ANN DY
"31-Dec-2018","30-May-2018","31-Mar-2018","1","21,945","75,317","75,317","75,317","7,738","788,177","10.27%","343.21%","9.56%","573,219","3.83","3.83","13.14","13.14","1.35","1.35","1.3750","1.38"," 1.43%"," 802.65%","30-Mar-2018","0.84","21.94","6.39","0.61","15.64%","1.61%","30-May-2018","0.835","21.81","6.35","0.61","15.74%","1.62%"
"31-Dec-2017","15-Feb-2018","31-Dec-2017","4","60,418","74,254","74,254","74,254","31,527","720,594","42.46%","122.90%","10.30%","573,219","10.54","10.54","12.95","12.95","5.50","5.50","1.2571","1.26"," 198.80%"," 83.16%","29-Dec-2017","0.91","8.63","7.02","0.72","14.23%","6.04%","15-Feb-2018","0.89","8.44","6.87","0.71","14.55%","6.18%"
"31-Dec-2017","24-Nov-2017","30-Sep-2017","3","45,326","24,851","24,851","24,851","23,845","678,864","95.96%","54.83%","3.66%","573,219","7.91","7.91","4.34","4.34","4.16","4.16","1.1843","1.18"," 51.45%"," -7.97%","29-Sep-2017","0.945","11.95","21.80","0.80","4.59%","4.40%","24-Nov-2017","0.925","11.70","21.34","0.78","4.69%","4.50%"
"31-Dec-2017","29-Aug-2017","30-Jun-2017","2","30,350","16,409","16,409","16,409","15,820","678,462","96.42%","54.07%","2.42%","573,219","5.29","5.29","2.86","2.86","2.76","2.76","1.1836","1.18"," 96.66%"," -10.85%","30-Jun-2017","0.96","18.13","33.54","0.81","2.98%","2.88%","29-Aug-2017","0.94","17.75","32.84","0.79","3.05%","2.94%"
"31-Dec-2017","30-May-2017","31-Mar-2017","1","15,220","8,344","8,344","8,344","8,197","678,061","98.24%","54.82%","1.23%","573,219","2.66","2.66","1.46","1.46","1.43","1.43","1.1829","1.18"," -79.42%"," -11.60%","31-Mar-2017","0.94","35.40","64.58","0.79","1.55%","1.52%","30-May-2017","0.955","35.97","65.61","0.81","1.52%","1.50%"
"31-Dec-2016","20-Feb-2017","31-Dec-2016","4","57,386","40,541","40,541","40,541","33,819","669,750","83.42%","70.65%","6.05%","573,219","10.01","10.01","7.07","7.07","5.90","5.90","1.1684","1.17"," 50.14%"," -32.07%","30-Dec-2016","0.92","9.19","13.01","0.79","7.69%","6.41%","20-Feb-2017","0.95","9.49","13.43","0.81","7.44%","6.21%"
"31-Dec-2016","25-Nov-2016","30-Sep-2016","3","43,090","27,002","27,002","27,002","25,680","664,017","95.10%","62.66%","4.07%","573,219","7.52","7.52","4.71","4.71","4.48","4.48","1.1584","1.16"," 46.69%"," 2.84%","30-Sep-2016","0.935","12.44","19.85","0.81","5.04%","4.79%","25-Nov-2016","0.925","12.31","19.64","0.80","5.09%","4.84%"
"31-Dec-2016","24-Aug-2016","30-Jun-2016","2","28,679","18,407","18,407","18,407","17,483","672,100","94.98%","64.18%","2.74%","573,219","5.00","5.00","3.21","3.21","3.05","3.05","1.1725","1.17"," 95.01%"," 4.48%","30-Jun-2016","0.905","18.09","28.18","0.77","3.55%","3.37%","24-Aug-2016","0.95","18.99","29.58","0.81","3.38%","3.21%"
"31-Dec-2016","27-May-2016","31-Mar-2016","1","14,489","9,439","9,439","9,439","8,942","671,641","94.74%","65.15%","1.41%","573,219","2.53","2.53","1.65","1.65","1.56","1.56","1.1717","1.17"," -84.18%"," 17.65%","31-Mar-2016","0.885","35.01","53.75","0.76","1.86%","1.76%","27-May-2016","0.91","36.00","55.26","0.78","1.81%","1.71%"
"31-Dec-2015","19-Feb-2016","31-Dec-2015","4","61,607","59,683","59,683","59,683","36,170","662,642","60.60%","96.88%","9.01%","573,219","10.75","10.75","10.41","10.41","6.31","6.31","1.1560","1.16"," 127.30%"," -44.35%","31-Dec-2015","0.865","8.05","8.31","0.75","12.04%","7.29%","19-Feb-2016","0.88","8.19","8.45","0.76","11.83%","7.17%"
"31-Dec-2015","26-Nov-2015","30-Sep-2015","3","46,023","26,257","26,257","26,257","25,794","647,623","98.24%","57.05%","4.05%","573,219","8.03","8.03","4.58","4.58","4.50","4.50","1.1298","1.13"," 49.04%"," -22.89%","30-Sep-2015","0.845","10.52","18.45","0.75","5.42%","5.33%","26-Nov-2015","0.875","10.90","19.10","0.77","5.23%","5.14%"
"31-Dec-2015","28-Aug-2015","30-Jun-2015","2","30,522","17,618","17,618","17,618","17,196","649,228","97.61%","57.72%","2.71%","573,219","5.32","5.32","3.07","3.07","3.00","3.00","1.1326","1.13"," 119.59%"," 14.95%","30-Jun-2015","0.87","16.34","28.31","0.77","3.53%","3.45%","28-Aug-2015","0.825","15.49","26.84","0.73","3.73%","3.64%"
"31-Dec-2015","29-May-2015","31-Mar-2015","1","15,190","8,023","8,023","8,023","8,025","654,789","100.03%","52.82%","1.23%","573,219","2.65","2.65","1.40","1.40","1.40","1.40","1.1423","1.14"," -92.52%"," 0.94%","31-Mar-2015","0.915","34.53","65.37","0.80","1.53%","1.53%","29-May-2015","0.915","34.53","65.37","0.80","1.53%","1.53%"
"31-Dec-2014","16-Feb-2015","31-Dec-2014","4","55,232","107,249","107,249","107,249","37,259","647,623","34.74%","194.18%","16.56%","573,219","9.64","9.64","18.71","18.71","6.50","6.50","1.1298","1.13"," 214.97%"," 342.26%","31-Dec-2014","0.83","8.61","4.44","0.73","22.54%","7.83%","16-Feb-2015","0.895","9.29","4.78","0.79","20.90%","7.26%"
"31-Dec-2014","25-Nov-2014","30-Sep-2014","3","41,273","34,051","34,051","34,051","26,941","577,289","79.12%","82.50%","5.90%","573,219","7.20","7.20","5.94","5.94","4.70","4.70","1.0071","1.01"," 122.18%"," 2.11%","30-Sep-2014","0.90","12.50","15.15","0.89","6.60%","5.22%","25-Nov-2014","0.865","12.01","14.56","0.86","6.87%","5.43%"
"31-Dec-2014","28-Aug-2014","30-Jun-2014","2","27,688","15,326","15,326","15,326","17,196","573,506","112.21%","55.35%","2.67%","573,219","4.83","4.83","2.67","2.67","3.00","3.00","1.0005","1.00"," 92.83%"," -31.57%","30-Jun-2014","0.915","18.94","34.22","0.91","2.92%","3.28%","28-Aug-2014","0.915","18.94","34.22","0.91","2.92%","3.28%"
"31-Dec-2014","28-May-2014","31-Mar-2014","1","14,030","7,948","7,948","7,948","9,744","585,601","122.61%","56.65%","1.36%","573,219","2.45","2.45","1.39","1.39","1.70","1.70","1.0216","1.02"," -67.22%"," -30.08%","31-Mar-2014","0.89","36.36","64.19","0.87","1.56%","1.91%","28-May-2014","0.92","37.59","66.35","0.90","1.51%","1.85%"
"31-Dec-2013","18-Feb-2014","31-Dec-2013","4","64,269","24,250","24,250","24,250","41,615","577,633","171.61%","37.73%","4.20%","573,219","11.21","11.21","4.23","4.23","7.26","7.26","1.0077","1.01"," -27.28%"," -44.11%","31-Dec-2013","1.00","8.92","23.64","0.99","4.23%","7.26%","18-Feb-2014","0.98","8.74","23.17","0.97","4.32%","7.41%"
"31-Dec-2013","20-Nov-2013","30-Sep-2013","3","50,270","33,346","33,346","33,346","31,699","606,867","95.06%","66.33%","5.49%","573,219","8.77","8.77","5.82","5.82","5.53","5.53","1.0587","1.06"," 48.88%"," 8.60%","30-Sep-2013","1.03","11.74","17.71","0.97","5.65%","5.37%","20-Nov-2013","1.01","11.52","17.36","0.95","5.76%","5.48%"
"31-Dec-2013","23-Aug-2013","30-Jun-2013","2","33,464","22,398","22,398","22,398","21,266","606,065","94.95%","66.93%","3.70%","573,219","5.84","5.84","3.91","3.91","3.71","3.71","1.0573","1.06"," 97.03%"," 12.48%","28-Jun-2013","0.995","17.04","25.46","0.94","3.93%","3.73%","23-Aug-2013","1.01","17.30","25.85","0.96","3.87%","3.67%"
"31-Dec-2013","23-May-2013","31-Mar-2013","1","16,747","11,368","11,368","11,368","10,776","604,918","94.80%","67.88%","1.88%","573,219","2.92","2.92","1.98","1.98","1.88","1.88","1.0553","1.06"," -73.80%"," 17.34%","29-Mar-2013","0.925","31.66","46.64","0.88","2.14%","2.03%","23-May-2013","1.04","35.60","52.44","0.99","1.91%","1.81%"
"31-Dec-2012","21-Feb-2013","31-Dec-2012","4","66,915","43,387","43,387","43,387","42,704","617,587","98.43%","64.84%","7.03%","573,219","11.67","11.67","8.18","8.18","7.45","7.45","1.0774","1.08"," 41.30%"," -41.11%","31-Dec-2012","0.92","7.88","12.15","0.85","8.23%","8.10%","21-Feb-2013","0.93","7.97","12.29","0.86","8.14%","8.01%"
"31-Dec-2012","22-Nov-2012","30-Sep-2012","3","50,086","30,706","30,706","30,706","30,151","601,307","98.19%","61.31%","5.11%","573,219","8.74","8.74","5.36","5.36","5.26","5.26","1.0490","1.05"," 54.21%"," -4.68%","28-Sep-2012","0.94","10.76","17.55","0.90","5.70%","5.60%","22-Nov-2012","0.93","10.64","17.36","0.89","5.76%","5.66%"
"31-Dec-2012","27-Aug-2012","30-Jun-2012","2","33,300","19,912","19,912","19,912","20,693","601,479","103.92%","59.80%","3.31%","573,219","5.81","5.81","3.47","3.47","3.61","3.61","1.0493","1.05"," 105.53%"," -8.82%","29-Jun-2012","0.92","15.84","26.48","0.88","3.78%","3.92%","27-Aug-2012","0.96","16.53","27.64","0.91","3.62%","3.76%"
"31-Dec-2012","23-May-2012","31-Mar-2012","1","16,622","9,688","9,688","9,688","10,375","600,963","107.09%","58.28%","1.61%","573,219","2.90","2.90","1.69","1.69","1.81","1.81","1.0484","1.05"," -86.85%"," -11.39%","30-Mar-2012","0.93","32.07","55.03","0.89","1.82%","1.95%","23-May-2012","0.93","32.07","55.03","0.89","1.82%","1.95%"
"31-Dec-2011","15-Feb-2012","31-Dec-2011","4","65,306","73,672","73,672","73,672","41,386","601,651","56.18%","112.81%","12.24%","573,219","11.39","11.39","12.85","12.85","7.22","7.22","1.0496","1.05"," 128.69%"," 77.95%","30-Dec-2011","0.90","7.90","7.00","0.86","14.28%","8.02%","15-Feb-2012","0.92","8.08","7.16","0.88","13.97%","7.85%"
