Column1,AQR,T4Q,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/01/12,31/01/11,31/01/10,CAGR
"Revenue","318,600","314,283","322,575","229,436","190,264","152,148","129,059","97,392","55,396","47,226","0","-"
"YoY %","1.37%","-2.57%","40.59%","20.59%","25.05%","17.89%","32.51%","75.81%","17.30%","0.00%","-",""
"Horiz. %","674.63%","665.49%","683.05%","485.83%","402.88%","322.17%","273.28%","206.23%","117.30%","100.00%","-",""
"PBT","4,216","4,123","5,760","5,122","13,014","7,508","2,842","2,760","418","2,900","0","-"
"YoY %","2.26%","-28.42%","12.46%","-60.64%","73.34%","164.18%","2.97%","560.29%","-85.59%","0.00%","-",""
"Horiz. %","145.38%","142.17%","198.62%","176.62%","448.76%","258.90%","98.00%","95.17%","14.41%","100.00%","-",""
"Tax","-1,224","-3,117","-2,923","1,898","-451","-694","-338","-463","36","248","0","-"
"YoY %","60.73%","-6.64%","-254.00%","520.84%","35.01%","-105.33%","27.00%","-1,386.11%","-85.48%","0.00%","-",""
"Horiz. %","-493.55%","-1,256.85%","-1,178.63%","765.32%","-181.85%","-279.84%","-136.29%","-186.69%","14.52%","100.00%","-",""
"NP","2,992","1,006","2,837","7,020","12,563","6,814","2,504","2,297","454","3,148","0","-"
"YoY %","197.42%","-64.54%","-59.59%","-44.12%","84.37%","172.12%","9.01%","405.95%","-85.58%","0.00%","-",""
"Horiz. %","95.04%","31.96%","90.12%","223.00%","399.08%","216.45%","79.54%","72.97%","14.42%","100.00%","-",""
"NP to SH","-1,818","-3,173","-1,918","159","5,997","3,166","1,272","2,971","1,978","3,148","0","-"
"YoY %","42.70%","-65.43%","-1,306.29%","-97.35%","89.42%","148.90%","-57.19%","50.20%","-37.17%","0.00%","-",""
"Horiz. %","-57.75%","-100.79%","-60.93%","5.05%","190.50%","100.57%","40.41%","94.38%","62.83%","100.00%","-",""
"Tax Rate","29.03    %","75.60    %","50.75    %","-37.06    %","3.47    %","9.24    %","11.89    %","16.78    %","-8.61    %","-8.55    %","-     %","-"
"YoY %","-61.60%","48.97%","236.94%","-1,168.01%","-62.45%","-22.29%","-29.14%","294.89%","-0.70%","0.00%","-",""
"Horiz. %","-339.53%","-884.21%","-593.57%","433.45%","-40.58%","-108.07%","-139.06%","-196.26%","100.70%","100.00%","-",""
"Total Cost","315,608","313,277","319,738","222,416","177,701","145,334","126,555","95,095","54,942","44,078","0","-"
"YoY %","0.74%","-2.02%","43.76%","25.16%","22.27%","14.84%","33.08%","73.08%","24.65%","0.00%","-",""
"Horiz. %","716.02%","710.73%","725.39%","504.60%","403.15%","329.72%","287.12%","215.74%","124.65%","100.00%","-",""
"Net Worth","9,680,849","9,365,914","97,980","101,919","63,944","46,845","43,813","42,108","34,098","16,598","-","-"
"YoY %","3.36%","9,458.95%","-3.86%","59.39%","36.50%","6.92%","4.05%","23.49%","105.43%","0.00%","-",""
"Horiz. %","58,323.48%","56,426.12%","590.30%","614.02%","385.24%","282.23%","263.96%","253.69%","205.43%","100.00%","-",""
"Div","-","0","-","-","-","588","-","584","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","100.58%","0.00%","100.00%","-","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","18.58    %","-     %","19.69    %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","94.36%","0.00%","100.00%","-","-","-",""
"Net Worth","9,680,849","9,365,914","97,980","101,919","63,944","46,845","43,813","42,108","34,098","16,598","-","-"
"YoY %","3.36%","9,458.95%","-3.86%","59.39%","36.50%","6.92%","4.05%","23.49%","105.43%","0.00%","-",""
"Horiz. %","58,323.48%","56,426.12%","590.30%","614.02%","385.24%","282.23%","263.96%","253.69%","205.43%","100.00%","-",""
"NOSH","504,999","488,571","506,359","530,000","379,493","235,285","235,555","233,937","213,118","114,472","-","-"
"YoY %","3.36%","-3.51%","-4.46%","39.66%","61.29%","-0.11%","0.69%","9.77%","86.17%","0.00%","-",""
"Horiz. %","441.15%","426.80%","442.34%","462.99%","331.51%","205.54%","205.77%","204.36%","186.17%","100.00%","-",""
"NP Margin","0.94    %","0.32    %","0.88    %","3.06    %","6.60    %","4.48    %","1.94    %","2.36    %","0.82    %","6.67    %","-     %","-"
"YoY %","193.75%","-63.64%","-71.24%","-53.64%","47.32%","130.93%","-17.80%","187.80%","-87.71%","0.00%","-",""
"Horiz. %","14.09%","4.80%","13.19%","45.88%","98.95%","67.17%","29.09%","35.38%","12.29%","100.00%","-",""
"ROE","-0.02    %","-0.03    %","-1.96    %","0.16    %","9.38    %","6.76    %","2.90    %","7.06    %","5.80    %","18.97    %","-     %","-"
"YoY %","33.33%","98.47%","-1,325.00%","-98.29%","38.76%","133.10%","-58.92%","21.72%","-69.43%","0.00%","-",""
"Horiz. %","-0.11%","-0.16%","-10.33%","0.84%","49.45%","35.64%","15.29%","37.22%","30.57%","100.00%","-",""
"RPS","63.09","64.33","63.70","43.29","50.14","64.67","54.79","41.63","25.99","41.26","-","-"
"YoY %","-1.93%","0.99%","47.15%","-13.66%","-22.47%","18.03%","31.61%","60.18%","-37.01%","0.00%","-",""
"Horiz. %","152.91%","155.91%","154.39%","104.92%","121.52%","156.74%","132.79%","100.90%","62.99%","100.00%","-",""
"EPS","-0.36","-0.65","-0.38","0.03","1.67","1.35","0.54","1.27","0.93","2.75","0.00","-"
"YoY %","44.62%","-71.05%","-1,366.67%","-98.20%","23.70%","150.00%","-57.48%","36.56%","-66.18%","0.00%","-",""
"Horiz. %","-13.09%","-23.64%","-13.82%","1.09%","60.73%","49.09%","19.64%","46.18%","33.82%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.25","0.00","0.25","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","0.00%","100.00%","-","-","-",""
"NAPS","19.1700","19.1700","0.1935","0.1923","0.1685","0.1991","0.1860","0.1800","0.1600","0.1450","0.0000","-"
"YoY %","0.00%","9,806.98%","0.62%","14.12%","-15.37%","7.04%","3.33%","12.50%","10.34%","0.00%","-",""
"Horiz. %","13,220.69%","13,220.69%","133.45%","132.62%","116.21%","137.31%","128.28%","124.14%","110.34%","100.00%","-",""
"RPS","59.96","59.15","60.71","43.18","35.81","28.63","24.29","18.33","10.43","8.89","-","-"
"YoY %","1.37%","-2.57%","40.60%","20.58%","25.08%","17.87%","32.52%","75.74%","17.32%","0.00%","-",""
"Horiz. %","674.47%","665.35%","682.90%","485.71%","402.81%","322.05%","273.23%","206.19%","117.32%","100.00%","-",""
"EPS","-0.34","-0.60","-0.36","0.03","1.13","0.60","0.24","0.56","0.37","0.59","0.00","-"
"YoY %","43.33%","-66.67%","-1,300.00%","-97.35%","88.33%","150.00%","-57.14%","51.35%","-37.29%","0.00%","-",""
