Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,30/06/15,30/06/14,30/06/13,30/06/12,30/06/11,30/06/10,CAGR
"Revenue","114,029","101,291","114,029","88,934","92,656","100,309","101,608","104,943","110,048","106,611","109,312","102,756","1.16%"
"YoY %","12.58%","-11.17%","28.22%","-4.02%","-7.63%","-1.28%","-3.18%","-4.64%","3.22%","-2.47%","6.38%","-",""
"Horiz. %","110.97%","98.57%","110.97%","86.55%","90.17%","97.62%","98.88%","102.13%","107.10%","103.75%","106.38%","100.00%",""
"PBT","8,023","8,023","8,023","6,259","6,022","7,108","6,288","10,814","11,156","10,754","12,013","12,416","-4.73%"
"YoY %","0.00%","0.00%","28.18%","3.94%","-15.28%","13.04%","-41.85%","-3.07%","3.74%","-10.48%","-3.25%","-",""
"Horiz. %","64.62%","64.62%","64.62%","50.41%","48.50%","57.25%","50.64%","87.10%","89.85%","86.61%","96.75%","100.00%",""
"Tax","-1,871","-1,871","-1,871","-1,511","-1,492","-1,748","-1,911","-2,972","-3,004","-2,938","-3,133","-3,286","-6.06%"
"YoY %","0.00%","0.00%","-23.83%","-1.27%","14.65%","8.53%","35.70%","1.07%","-2.25%","6.22%","4.66%","-",""
"Horiz. %","56.94%","56.94%","56.94%","45.98%","45.40%","53.20%","58.16%","90.44%","91.42%","89.41%","95.34%","100.00%",""
"NP","6,152","6,152","6,152","4,748","4,530","5,360","4,377","7,842","8,152","7,816","8,880","9,130","-4.29%"
"YoY %","0.00%","0.00%","29.57%","4.81%","-15.49%","22.46%","-44.19%","-3.80%","4.30%","-11.98%","-2.74%","-",""
"Horiz. %","67.38%","67.38%","67.38%","52.00%","49.62%","58.71%","47.94%","85.89%","89.29%","85.61%","97.26%","100.00%",""
"NP to SH","6,290","6,290","6,290","4,731","4,511","5,455","4,434","7,798","8,115","7,784","8,788","9,133","-4.06%"
"YoY %","0.00%","0.00%","32.95%","4.88%","-17.31%","23.03%","-43.14%","-3.91%","4.25%","-11.42%","-3.78%","-",""
"Horiz. %","68.87%","68.87%","68.87%","51.80%","49.39%","59.73%","48.55%","85.38%","88.85%","85.23%","96.22%","100.00%",""
"Tax Rate","23.32    %","23.32    %","23.32    %","24.14    %","24.78    %","24.59    %","30.39    %","27.48    %","26.93    %","27.32    %","26.08    %","26.47    %","-1.40%"
"YoY %","0.00%","0.00%","-3.40%","-2.58%","0.77%","-19.09%","10.59%","2.04%","-1.43%","4.75%","-1.47%","-",""
"Horiz. %","88.10%","88.10%","88.10%","91.20%","93.62%","92.90%","114.81%","103.82%","101.74%","103.21%","98.53%","100.00%",""
"Total Cost","107,877","95,139","107,877","84,186","88,126","94,949","97,231","97,101","101,896","98,795","100,432","93,626","1.59%"
"YoY %","13.39%","-11.81%","28.14%","-4.47%","-7.19%","-2.35%","0.13%","-4.71%","3.14%","-1.63%","7.27%","-",""
"Horiz. %","115.22%","101.62%","115.22%","89.92%","94.13%","101.41%","103.85%","103.71%","108.83%","105.52%","107.27%","100.00%",""
"Net Worth","89,632","89,632","89,632","85,558","83,113","81,076","79,039","77,002","72,113","67,224","63,644","59,364","4.68%"
"YoY %","0.00%","0.00%","4.76%","2.94%","2.51%","2.58%","2.65%","6.78%","7.27%","5.62%","7.21%","-",""
"Horiz. %","150.99%","150.99%","150.99%","144.12%","140.01%","136.57%","133.14%","129.71%","121.48%","113.24%","107.21%","100.00%",""
"Div","3,463","3,463","3,463","2,037","2,037","3,055","3,055","3,055","4,074","4,074","6,080","6,016","-5.95%"
"YoY %","0.00%","0.00%","70.00%","0.00%","-33.33%","0.00%","0.00%","-25.00%","0.00%","-33.00%","1.06%","-",""
"Horiz. %","57.56%","57.56%","57.56%","33.86%","33.86%","50.79%","50.79%","50.79%","67.72%","67.72%","101.06%","100.00%",""
"Div Payout %","55.06    %","55.06    %","55.06    %","43.06    %","45.16    %","56.02    %","68.91    %","39.19    %","50.21    %","52.34    %","69.19    %","65.88    %","-1.97%"
"YoY %","0.00%","0.00%","27.87%","-4.65%","-19.39%","-18.71%","75.84%","-21.95%","-4.07%","-24.35%","5.02%","-",""
"Horiz. %","83.58%","83.58%","83.58%","65.36%","68.55%","85.03%","104.60%","59.49%","76.21%","79.45%","105.02%","100.00%",""
"Net Worth","89,632","89,632","89,632","85,558","83,113","81,076","79,039","77,002","72,113","67,224","63,644","59,364","4.68%"
"YoY %","0.00%","0.00%","4.76%","2.94%","2.51%","2.58%","2.65%","6.78%","7.27%","5.62%","7.21%","-",""
"Horiz. %","150.99%","150.99%","150.99%","144.12%","140.01%","136.57%","133.14%","129.71%","121.48%","113.24%","107.21%","100.00%",""
"NOSH","40,742","40,742","40,742","40,742","40,742","40,742","40,742","40,742","40,742","40,742","40,537","40,111","0.17%"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.50%","1.06%","-",""
"Horiz. %","101.57%","101.57%","101.57%","101.57%","101.57%","101.57%","101.57%","101.57%","101.57%","101.57%","101.06%","100.00%",""
"NP Margin","5.40    %","6.07    %","5.40    %","5.34    %","4.89    %","5.34    %","4.31    %","7.47    %","7.41    %","7.33    %","8.12    %","8.89    %","-5.39%"
"YoY %","-11.04%","12.41%","1.12%","9.20%","-8.43%","23.90%","-42.30%","0.81%","1.09%","-9.73%","-8.66%","-",""
"Horiz. %","60.74%","68.28%","60.74%","60.07%","55.01%","60.07%","48.48%","84.03%","83.35%","82.45%","91.34%","100.00%",""
"ROE","7.02    %","7.02    %","7.02    %","5.53    %","5.43    %","6.73    %","5.61    %","10.13    %","11.25    %","11.58    %","13.81    %","15.38    %","-8.34%"
"YoY %","0.00%","0.00%","26.94%","1.84%","-19.32%","19.96%","-44.62%","-9.96%","-2.85%","-16.15%","-10.21%","-",""
"Horiz. %","45.64%","45.64%","45.64%","35.96%","35.31%","43.76%","36.48%","65.86%","73.15%","75.29%","89.79%","100.00%",""
"RPS","279.88","248.62","279.88","218.29","227.42","246.21","249.39","257.58","270.11","261.67","269.65","256.18","0.99%"
"YoY %","12.57%","-11.17%","28.21%","-4.01%","-7.63%","-1.28%","-3.18%","-4.64%","3.23%","-2.96%","5.26%","-",""
"Horiz. %","109.25%","97.05%","109.25%","85.21%","88.77%","96.11%","97.35%","100.55%","105.44%","102.14%","105.26%","100.00%",""
"EPS","15.44","15.44","15.44","11.61","11.07","13.39","10.88","19.14","19.92","19.11","21.79","22.77","-4.22%"
"YoY %","0.00%","0.00%","32.99%","4.88%","-17.33%","23.07%","-43.16%","-3.92%","4.24%","-12.30%","-4.30%","-",""
"Horiz. %","67.81%","67.81%","67.81%","50.99%","48.62%","58.81%","47.78%","84.06%","87.48%","83.93%","95.70%","100.00%",""
"DPS","8.50","8.50","8.50","5.00","5.00","7.50","7.50","7.50","10.00","10.00","15.00","15.00","-6.11%"
"YoY %","0.00%","0.00%","70.00%","0.00%","-33.33%","0.00%","0.00%","-25.00%","0.00%","-33.33%","0.00%","-",""
"Horiz. %","56.67%","56.67%","56.67%","33.33%","33.33%","50.00%","50.00%","50.00%","66.67%","66.67%","100.00%","100.00%",""
"NAPS","2.2000","2.2000","2.2000","2.1000","2.0400","1.9900","1.9400","1.8900","1.7700","1.6500","1.5700","1.4800","4.50%"
"YoY %","0.00%","0.00%","4.76%","2.94%","2.51%","2.58%","2.65%","6.78%","7.27%","5.10%","6.08%","-",""
"Horiz. %","148.65%","148.65%","148.65%","141.89%","137.84%","134.46%","131.08%","127.70%","119.59%","111.49%","106.08%","100.00%",""
"RPS","279.88","248.62","279.88","218.29","227.42","246.21","249.39","257.58","270.11","261.67","268.30","252.21","1.16%"
"YoY %","12.57%","-11.17%","28.21%","-4.01%","-7.63%","-1.28%","-3.18%","-4.64%","3.23%","-2.47%","6.38%","-",""
"Horiz. %","110.97%","98.58%","110.97%","86.55%","90.17%","97.62%","98.88%","102.13%","107.10%","103.75%","106.38%","100.00%",""
"EPS","15.44","15.44","15.44","11.61","11.07","13.39","10.88","19.14","19.92","19.11","21.57","22.42","-4.06%"
"YoY %","0.00%","0.00%","32.99%","4.88%","-17.33%","23.07%","-43.16%","-3.92%","4.24%","-11.40%","-3.79%","-",""
"Horiz. %","68.87%","68.87%","68.87%","51.78%","49.38%","59.72%","48.53%","85.37%","88.85%","85.24%","96.21%","100.00%",""
"DPS","8.50","8.50","8.50","5.00","5.00","7.50","7.50","7.50","10.00","10.00","14.92","14.77","-5.95%"
"YoY %","0.00%","0.00%","70.00%","0.00%","-33.33%","0.00%","0.00%","-25.00%","0.00%","-32.98%","1.02%","-",""
"Horiz. %","57.55%","57.55%","57.55%","33.85%","33.85%","50.78%","50.78%","50.78%","67.70%","67.70%","101.02%","100.00%",""
"NAPS","2.2000","2.2000","2.2000","2.1000","2.0400","1.9900","1.9400","1.8900","1.7700","1.6500","1.5621","1.4571","4.68%"
"YoY %","0.00%","0.00%","4.76%","2.94%","2.51%","2.58%","2.65%","6.78%","7.27%","5.63%","7.21%","-",""
"Horiz. %","150.98%","150.98%","150.98%","144.12%","140.00%","136.57%","133.14%","129.71%","121.47%","113.24%","107.21%","100.00%",""
"Date","AQR","T4Q","28/06/19","29/06/18","30/06/17","30/06/16","30/06/15","30/06/14","28/06/13","29/06/12","30/06/11","30/06/10","-"
"Price","1.0000","1.0000","1.0000","0.9700","1.4000","1.3000","1.3800","1.5400","1.5000","1.5000","1.5000","1.1500","-"
"P/RPS","0.36","0.40","0.36","0.44","0.62","0.53","0.55","0.60","0.56","0.57","0.56","0.45","-2.45%"
"YoY %","-10.00%","11.11%","-18.18%","-29.03%","16.98%","-3.64%","-8.33%","7.14%","-1.75%","1.79%","24.44%","-",""
"Horiz. %","80.00%","88.89%","80.00%","97.78%","137.78%","117.78%","122.22%","133.33%","124.44%","126.67%","124.44%","100.00%",""
