Column1,AQR,T4Q,31/03/19,31/03/18,31/03/17,31/03/16,31/12/15,31/12/14,CAGR
"Revenue","122,920","122,491","114,729","109,068","128,669","0","107,858","-","-"
"YoY %","0.35%","6.77%","5.19%","-15.23%","0.00%","0.00%","0.00%","-",""
"Horiz. %","113.96%","113.57%","106.37%","101.12%","119.29%","0.00%","100.00%","-",""
"PBT","10,348","718","-453","9,920","16,353","0","16,971","-","-"
"YoY %","1,341.23%","258.50%","-104.57%","-39.34%","0.00%","0.00%","0.00%","-",""
"Horiz. %","60.97%","4.23%","-2.67%","58.45%","96.36%","0.00%","100.00%","-",""
"Tax","-860","2,064","1,842","106","-3,494","0","-1,845","-","-"
"YoY %","-141.67%","12.05%","1,637.74%","103.03%","0.00%","0.00%","0.00%","-",""
"Horiz. %","46.61%","-111.87%","-99.84%","-5.75%","189.38%","-0.00%","100.00%","-",""
"NP","9,488","2,782","1,389","10,026","12,859","0","15,126","-","-"
"YoY %","241.05%","100.29%","-86.15%","-22.03%","0.00%","0.00%","0.00%","-",""
"Horiz. %","62.73%","18.39%","9.18%","66.28%","85.01%","0.00%","100.00%","-",""
"NP to SH","9,236","2,927","1,660","10,382","12,834","0","15,003","-","-"
"YoY %","215.54%","76.33%","-84.01%","-19.11%","0.00%","0.00%","0.00%","-",""
"Horiz. %","61.56%","19.51%","11.06%","69.20%","85.54%","0.00%","100.00%","-",""
"Tax Rate","8.31    %","-287.47    %","-     %","-1.07    %","21.37    %","-     %","10.87    %","-     %","-"
"YoY %","102.89%","0.00%","0.00%","-105.01%","0.00%","0.00%","0.00%","-",""
"Horiz. %","76.45%","-2,644.62%","0.00%","-9.84%","196.60%","0.00%","100.00%","-",""
"Total Cost","113,432","119,709","113,340","99,042","115,810","0","92,732","-","-"
"YoY %","-5.24%","5.62%","14.44%","-14.48%","0.00%","0.00%","0.00%","-",""
"Horiz. %","122.32%","129.09%","122.22%","106.80%","124.89%","0.00%","100.00%","-",""
"Net Worth","185,760","185,760","146,880","144,720","136,079","127,799","125,999","-","-"
"YoY %","0.00%","26.47%","1.49%","6.35%","6.48%","1.43%","0.00%","-",""
"Horiz. %","147.43%","147.43%","116.57%","114.86%","108.00%","101.43%","100.00%","-",""
"Div","-","0","-","2,160","-","-","2,700","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","80.00%","0.00%","0.00%","100.00%","-",""
"Div Payout %","-     %","-     %","-     %","20.81    %","-     %","-     %","18.00    %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","115.61%","0.00%","0.00%","100.00%","-",""
"Net Worth","185,760","185,760","146,880","144,720","136,079","127,799","125,999","-","-"
"YoY %","0.00%","26.47%","1.49%","6.35%","6.48%","1.43%","0.00%","-",""
"Horiz. %","147.43%","147.43%","116.57%","114.86%","108.00%","101.43%","100.00%","-",""
"NOSH","216,000","216,000","216,000","216,000","216,000","180,000","180,000","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","20.00%","0.00%","0.00%","-",""
"Horiz. %","120.00%","120.00%","120.00%","120.00%","120.00%","100.00%","100.00%","-",""
"NP Margin","7.72    %","2.27    %","1.21    %","9.19    %","9.99    %","-     %","14.02    %","-     %","-"
