Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"28/08/2019","5.04","4.05","-0.99 (19.64%)","SELL","MACQUARIE GROUP"
"07/08/2019","4.93","4.00","-0.93 (18.86%)","SELL","PUBLIC BANK"
"07/08/2019","4.93","4.40","-0.53 (10.75%)","SELL","MalaccaSecurities"
"07/08/2019","4.93","5.85","+0.92 (18.66%)","BUY","KENANGA"
"07/08/2019","4.93","4.48","-0.45 (9.13%)","SELL","JF APEX"
"07/08/2019","4.93","4.78","-0.15 (3.04%)","HOLD","HLG"
"07/08/2019","4.93","5.40","+0.47 (9.53%)","HOLD","BIMB"
"07/08/2019","5.05","4.96","-0.09 (1.78%)","HOLD","AmInvest"
"07/08/2019","4.93","3.70","-1.23 (24.95%)","SELL","AffinHwang"
"01/08/2019","4.95","5.85","+0.90 (18.18%)","BUY","KENANGA"

