Column1,AQR,T4Q,30/06/18,30/06/17,30/06/16,30/06/15,30/06/14,30/06/13,30/06/12,31/03/12,30/06/11,30/06/10,CAGR
"Revenue","181,878","181,878","181,878","192,360","295,063","488,316","488,018","468,239","428,467","268,901","418,856","308,770","-6.40%"
"YoY %","0.00%","0.00%","-5.45%","-34.81%","-39.58%","0.06%","4.22%","9.28%","59.34%","-35.80%","35.65%","-",""
"Horiz. %","58.90%","58.90%","58.90%","62.30%","95.56%","158.15%","158.05%","151.65%","138.77%","87.09%","135.65%","100.00%",""
"PBT","44,076","44,076","44,076","38,037","32,164","73,029","71,886","63,767","38,128","28,985","32,172","12,204","17.40%"
"YoY %","0.00%","0.00%","15.88%","18.26%","-55.96%","1.59%","12.73%","67.24%","31.54%","-9.91%","163.62%","-",""
"Horiz. %","361.16%","361.16%","361.16%","311.68%","263.55%","598.40%","589.04%","522.51%","312.42%","237.50%","263.62%","100.00%",""
"Tax","-19,554","-19,554","-19,554","-19,904","-15,836","-19,066","-7,067","-23,422","-13,866","-11,102","-13,212","-1,192","41.83%"
"YoY %","0.00%","0.00%","1.76%","-25.69%","16.94%","-169.79%","69.83%","-68.92%","-24.90%","15.97%","-1,008.39%","-",""
"Horiz. %","1,640.44%","1,640.44%","1,640.44%","1,669.80%","1,328.52%","1,599.50%","592.87%","1,964.93%","1,163.26%","931.38%","1,108.39%","100.00%",""
"NP","24,522","24,522","24,522","18,133","16,328","53,963","64,819","40,345","24,262","17,883","18,960","11,012","10.52%"
"YoY %","0.00%","0.00%","35.23%","11.05%","-69.74%","-16.75%","60.66%","66.29%","35.67%","-5.68%","72.18%","-",""
"Horiz. %","222.68%","222.68%","222.68%","164.67%","148.27%","490.04%","588.62%","366.37%","220.32%","162.40%","172.18%","100.00%",""
"NP to SH","24,522","24,522","24,522","18,133","16,328","53,963","64,819","40,345","24,262","17,883","18,960","11,012","10.52%"
"YoY %","0.00%","0.00%","35.23%","11.05%","-69.74%","-16.75%","60.66%","66.29%","35.67%","-5.68%","72.18%","-",""
"Horiz. %","222.68%","222.68%","222.68%","164.67%","148.27%","490.04%","588.62%","366.37%","220.32%","162.40%","172.18%","100.00%",""
"Tax Rate","44.36    %","44.36    %","44.36    %","52.33    %","49.24    %","26.11    %","9.83    %","36.73    %","36.37    %","38.30    %","41.07    %","9.77    %","20.80%"
"YoY %","0.00%","0.00%","-15.23%","6.28%","88.59%","165.62%","-73.24%","0.99%","-5.04%","-6.74%","320.37%","-",""
