Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,30/06/15,30/06/14,CAGR
"Revenue","443,005","443,005","443,005","136,790","115,517","123,527","164,161","-","-"
"YoY %","0.00%","0.00%","223.86%","18.42%","-6.48%","-24.75%","0.00%","-",""
"Horiz. %","269.86%","269.86%","269.86%","83.33%","70.37%","75.25%","100.00%","-",""
"PBT","31,093","31,093","31,093","-24,359","-3,632","6,286","-2,791","-","-"
"YoY %","0.00%","0.00%","227.64%","-570.68%","-157.78%","325.22%","0.00%","-",""
"Horiz. %","-1,114.05%","-1,114.05%","-1,114.05%","872.77%","130.13%","-225.22%","100.00%","-",""
"Tax","-2,521","-2,520","-2,521","-761","-177","-2,836","-5,353","-","-"
"YoY %","-0.04%","0.04%","-231.27%","-329.94%","93.76%","47.02%","0.00%","-",""
"Horiz. %","47.10%","47.08%","47.10%","14.22%","3.31%","52.98%","100.00%","-",""
"NP","28,572","28,573","28,572","-25,120","-3,809","3,450","-8,144","-","-"
"YoY %","-0.00%","0.00%","213.74%","-559.49%","-210.41%","142.36%","0.00%","-",""
"Horiz. %","-350.83%","-350.85%","-350.83%","308.45%","46.77%","-42.36%","100.00%","-",""
"NP to SH","28,816","28,817","28,816","-25,087","-4,374","3,451","-8,142","-","-"
"YoY %","-0.00%","0.00%","214.86%","-473.55%","-226.75%","142.39%","0.00%","-",""
"Horiz. %","-353.92%","-353.93%","-353.92%","308.12%","53.72%","-42.39%","100.00%","-",""
"Tax Rate","8.11    %","8.10    %","8.11    %","-     %","-     %","45.12    %","-     %","-     %","-"
"YoY %","0.12%","-0.12%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","17.97%","17.95%","17.97%","0.00%","0.00%","100.00%","-","-",""
"Total Cost","414,433","414,432","414,433","161,910","119,326","120,077","172,305","-","-"
"YoY %","0.00%","-0.00%","155.97%","35.69%","-0.63%","-30.31%","0.00%","-",""
"Horiz. %","240.52%","240.52%","240.52%","93.97%","69.25%","69.69%","100.00%","-",""
"Net Worth","158,218","158,218","158,218","133,731","158,686","162,570","159,715","-","-"
"YoY %","0.00%","0.00%","18.31%","-15.73%","-2.39%","1.79%","0.00%","-",""
"Horiz. %","99.06%","99.06%","99.06%","83.73%","99.36%","101.79%","100.00%","-",""
"Div","7,016","3,742","7,016","-","-","-","2,338","-","-"
"YoY %","87.50%","-46.67%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","300.00%","160.00%","300.00%","0.00%","0.00%","0.00%","100.00%","-",""
