Column1,AQR,T4Q,31/03/19,31/03/18,31/03/17,31/03/16,31/03/15,31/03/14,31/03/13,31/03/12,CAGR
"Revenue","140,768","129,765","123,394","104,127","94,489","64,167","57,615","48,391","40,958","38,604","18.05%"
"YoY %","8.48%","5.16%","18.50%","10.20%","47.25%","11.37%","19.06%","18.15%","6.10%","-",""
"Horiz. %","364.65%","336.14%","319.64%","269.73%","244.76%","166.22%","149.25%","125.35%","106.10%","100.00%",""
"PBT","49,132","45,367","43,806","35,336","30,567","25,324","25,485","22,431","19,495","21,524","10.68%"
"YoY %","8.30%","3.56%","23.97%","15.60%","20.70%","-0.63%","13.62%","15.06%","-9.43%","-",""
"Horiz. %","228.27%","210.77%","203.52%","164.17%","142.01%","117.65%","118.40%","104.21%","90.57%","100.00%",""
"Tax","-12,032","-11,247","-10,890","-9,412","-7,566","-6,536","-6,689","-6,031","-5,622","-5,581","10.02%"
"YoY %","-6.98%","-3.28%","-15.70%","-24.40%","-15.76%","2.29%","-10.91%","-7.27%","-0.73%","-",""
"Horiz. %","215.59%","201.52%","195.13%","168.64%","135.57%","117.11%","119.85%","108.06%","100.73%","100.00%",""
"NP","37,100","34,120","32,916","25,924","23,001","18,788","18,796","16,400","13,873","15,943","10.91%"
"YoY %","8.73%","3.66%","26.97%","12.71%","22.42%","-0.04%","14.61%","18.22%","-12.98%","-",""
"Horiz. %","232.70%","214.01%","206.46%","162.60%","144.27%","117.84%","117.89%","102.87%","87.02%","100.00%",""
"NP to SH","37,100","34,120","32,916","25,924","23,001","18,788","18,796","16,400","13,873","15,943","10.91%"
"YoY %","8.73%","3.66%","26.97%","12.71%","22.42%","-0.04%","14.61%","18.22%","-12.98%","-",""
"Horiz. %","232.70%","214.01%","206.46%","162.60%","144.27%","117.84%","117.89%","102.87%","87.02%","100.00%",""
"Tax Rate","24.49    %","24.79    %","24.86    %","26.64    %","24.75    %","25.81    %","26.25    %","26.89    %","28.84    %","25.93    %","-0.60%"
"YoY %","-1.21%","-0.28%","-6.68%","7.64%","-4.11%","-1.68%","-2.38%","-6.76%","11.22%","-",""
"Horiz. %","94.45%","95.60%","95.87%","102.74%","95.45%","99.54%","101.23%","103.70%","111.22%","100.00%",""
"Total Cost","103,668","95,645","90,478","78,203","71,488","45,379","38,819","31,991","27,085","22,661","21.86%"
"YoY %","8.39%","5.71%","15.70%","9.39%","57.54%","16.90%","21.34%","18.11%","19.52%","-",""
"Horiz. %","457.47%","422.07%","399.27%","345.10%","315.47%","200.25%","171.30%","141.17%","119.52%","100.00%",""
"Net Worth","408,939","408,939","411,643","396,960","312,865","268,817","259,944","167,500","136,051","234,044","8.40%"
"YoY %","0.00%","-0.66%","3.70%","26.88%","16.39%","3.41%","55.19%","23.11%","-41.87%","-",""
"Horiz. %","174.73%","174.73%","175.88%","169.61%","133.68%","114.86%","111.07%","71.57%","58.13%","100.00%",""
"Div","-","20,639","20,730","19,276","14,564","9,861","9,373","9,375","6,963","-","-"
"YoY %","0.00%","-0.44%","7.54%","32.36%","47.69%","5.21%","-0.02%","34.63%","0.00%","-",""
"Horiz. %","0.00%","296.40%","297.71%","276.84%","209.16%","141.62%","134.61%","134.63%","100.00%","-",""
"Div Payout %","-     %","60.49    %","62.98    %","74.36    %","63.32    %","52.49    %","49.87    %","57.16    %","50.19    %","-     %","-"
"YoY %","0.00%","-3.95%","-15.30%","17.44%","20.63%","5.25%","-12.75%","13.89%","0.00%","-",""
"Horiz. %","0.00%","120.52%","125.48%","148.16%","126.16%","104.58%","99.36%","113.89%","100.00%","-",""
"Net Worth","408,939","408,939","411,643","396,960","312,865","268,817","259,944","167,500","136,051","234,044","8.40%"
"YoY %","0.00%","-0.66%","3.70%","26.88%","16.39%","3.41%","55.19%","23.11%","-41.87%","-",""
"Horiz. %","174.73%","174.73%","175.88%","169.61%","133.68%","114.86%","111.07%","71.57%","58.13%","100.00%",""
"NOSH","296,332","296,332","296,146","285,583","215,769","146,096","124,973","125,000","107,127","100,018","16.77%"
"YoY %","0.00%","0.06%","3.70%","32.36%","47.69%","16.90%","-0.02%","16.68%","7.11%","-",""
"Horiz. %","296.28%","296.28%","296.09%","285.53%","215.73%","146.07%","124.95%","124.98%","107.11%","100.00%",""
"NP Margin","26.36    %","26.29    %","26.68    %","24.90    %","24.34    %","29.28    %","32.62    %","33.89    %","33.87    %","41.30    %","-6.05%"
"YoY %","0.27%","-1.46%","7.15%","2.30%","-16.87%","-10.24%","-3.75%","0.06%","-17.99%","-",""
