Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,&nbsp;-&nbsp;,CAGR
"Revenue","9,749","9,749","9,749","11,844","9,672","7,169","-","10.79%"
"YoY %","0.00%","0.00%","-17.69%","22.46%","34.91%","-","-",""
"Horiz. %","135.99%","135.99%","135.99%","165.21%","134.91%","100.00%","-",""
"PBT","3,102","3,102","3,102","5,879","2,582","2,206","-","12.03%"
"YoY %","0.00%","0.00%","-47.24%","127.69%","17.04%","-","-",""
"Horiz. %","140.62%","140.62%","140.62%","266.50%","117.04%","100.00%","-",""
"Tax","-1,270","-1,270","-1,270","-1,789","-1,325","-612","-","27.55%"
"YoY %","0.00%","0.00%","29.01%","-35.02%","-116.50%","-","-",""
"Horiz. %","207.52%","207.52%","207.52%","292.32%","216.50%","100.00%","-",""
"NP","1,832","1,832","1,832","4,090","1,257","1,594","-","4.75%"
"YoY %","0.00%","0.00%","-55.21%","225.38%","-21.14%","-","-",""
"Horiz. %","114.93%","114.93%","114.93%","256.59%","78.86%","100.00%","-",""
"NP to SH","1,832","1,832","1,832","4,090","1,257","1,594","-","4.75%"
"YoY %","0.00%","0.00%","-55.21%","225.38%","-21.14%","-","-",""
"Horiz. %","114.93%","114.93%","114.93%","256.59%","78.86%","100.00%","-",""
"Tax Rate","40.94    %","40.94    %","40.94    %","30.43    %","51.32    %","27.74    %","-   %","13.85%"
"YoY %","0.00%","0.00%","34.54%","-40.71%","85.00%","-","-",""
"Horiz. %","147.58%","147.58%","147.58%","109.70%","185.00%","100.00%","-",""
"Total Cost","7,917","7,917","7,917","7,754","8,415","5,575","-","12.40%"
"YoY %","0.00%","0.00%","2.10%","-7.86%","50.94%","-","-",""
"Horiz. %","142.01%","142.01%","142.01%","139.09%","150.94%","100.00%","-",""
"Net Worth","181,000","181,000","181,000","181,000","181,000","177,111","-","0.73%"
"YoY %","0.00%","0.00%","0.00%","0.00%","2.20%","-","-",""
"Horiz. %","102.20%","102.20%","102.20%","102.20%","102.20%","100.00%","-",""
"Div","2,715","2,715","2,715","3,620","-","-","-","-"
"YoY %","0.00%","0.00%","-25.00%","0.00%","0.00%","-","-",""
"Horiz. %","75.00%","75.00%","75.00%","100.00%","-","-","-",""
"Div Payout %","148.20    %","148.20    %","148.20    %","88.51    %","-     %","-     %","-   %","-"
"YoY %","0.00%","0.00%","67.44%","0.00%","0.00%","-","-",""
"Horiz. %","167.44%","167.44%","167.44%","100.00%","-","-","-",""
"Net Worth","181,000","181,000","181,000","181,000","181,000","177,111","-","0.73%"
"YoY %","0.00%","0.00%","0.00%","0.00%","2.20%","-","-",""
"Horiz. %","102.20%","102.20%","102.20%","102.20%","102.20%","100.00%","-",""
"NOSH","1,810,000","1,810,000","1,810,000","1,810,000","1,810,000","1,771,111","-","0.73%"
"YoY %","0.00%","0.00%","0.00%","0.00%","2.20%","-","-",""
"Horiz. %","102.20%","102.20%","102.20%","102.20%","102.20%","100.00%","-",""
"NP Margin","18.79    %","18.79    %","18.79    %","34.53    %","13.00    %","22.23    %","-   %","-5.45%"
"YoY %","0.00%","0.00%","-45.58%","165.62%","-41.52%","-","-",""
"Horiz. %","84.53%","84.53%","84.53%","155.33%","58.48%","100.00%","-",""
"ROE","1.01    %","1.01    %","1.01    %","2.26    %","0.69    %","0.90    %","-   %","3.92%"
"YoY %","0.00%","0.00%","-55.31%","227.54%","-23.33%","-","-",""
"Horiz. %","112.22%","112.22%","112.22%","251.11%","76.67%","100.00%","-",""
"RPS","0.54","0.54","0.54","0.65","0.53","0.40","-","10.52%"
"YoY %","0.00%","0.00%","-16.92%","22.64%","32.50%","-","-",""
"Horiz. %","135.00%","135.00%","135.00%","162.50%","132.50%","100.00%","-",""
"EPS","0.10","0.10","0.10","0.23","0.07","0.09","-","3.57%"
"YoY %","0.00%","0.00%","-56.52%","228.57%","-22.22%","-","-",""
"Horiz. %","111.11%","111.11%","111.11%","255.56%","77.78%","100.00%","-",""
"DPS","0.15","0.15","0.15","0.20","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","-25.00%","0.00%","0.00%","-","-",""
"Horiz. %","75.00%","75.00%","75.00%","100.00%","-","-","-",""
"NAPS","0.1000","0.1000","0.1000","0.1000","0.1000","0.1000","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","-",""
"RPS","0.54","0.54","0.54","0.65","0.53","0.40","-","10.52%"
"YoY %","0.00%","0.00%","-16.92%","22.64%","32.50%","-","-",""
"Horiz. %","135.00%","135.00%","135.00%","162.50%","132.50%","100.00%","-",""
"EPS","0.10","0.10","0.10","0.23","0.07","0.09","-","3.57%"
"YoY %","0.00%","0.00%","-56.52%","228.57%","-22.22%","-","-",""
"Horiz. %","111.11%","111.11%","111.11%","255.56%","77.78%","100.00%","-",""
"DPS","0.15","0.15","0.15","0.20","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","-25.00%","0.00%","0.00%","-","-",""
"Horiz. %","75.00%","75.00%","75.00%","100.00%","-","-","-",""
"NAPS","0.1000","0.1000","0.1000","0.1000","0.1000","0.0979","-","0.71%"
"YoY %","0.00%","0.00%","0.00%","0.00%","2.15%","-","-",""
"Horiz. %","102.15%","102.15%","102.15%","102.15%","102.15%","100.00%","-",""
"Date","AQR","T4Q","28/06/19","29/06/18","30/06/17","-","-","-"
"Price","0.0700","0.0700","0.0700","0.0700","0.1050","0.0000","-","-"
"P/RPS","13.00","13.00","13.00","10.70","19.65","0.00","-","-"
"YoY %","0.00%","0.00%","21.50%","-45.55%","0.00%","-","-",""
"Horiz. %","66.16%","66.16%","66.16%","54.45%","100.00%","-","-",""
"P/EPS","69.16","69.16","69.16","30.98","151.19","0.00","-","-"
"YoY %","0.00%","0.00%","123.24%","-79.51%","0.00%","-","-",""
"Horiz. %","45.74%","45.74%","45.74%","20.49%","100.00%","-","-",""
"EY","1.45","1.45","1.45","3.23","0.66","0.00","-","-"
"YoY %","0.00%","0.00%","-55.11%","389.39%","0.00%","-","-",""
"Horiz. %","219.70%","219.70%","219.70%","489.39%","100.00%","-","-",""
"DY","2.14","2.14","2.14","2.86","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","-25.17%","0.00%","0.00%","-","-",""
"Horiz. %","74.83%","74.83%","74.83%","100.00%","-","-","-",""
"P/NAPS","0.70","0.70","0.70","0.70","1.05","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","-33.33%","0.00%","-","-",""
"Horiz. %","66.67%","66.67%","66.67%","66.67%","100.00%","-","-",""
"Date","AQR","T4Q","28/08/19","27/08/18","24/08/17","-","-","-"
"Price","0.0700","0.0700","0.0700","0.0800","0.1050","0.0000","-","-"
"P/RPS","13.00","13.00","13.00","12.23","19.65","0.00","-","-"
"YoY %","0.00%","0.00%","6.30%","-37.76%","0.00%","-","-",""
"Horiz. %","66.16%","66.16%","66.16%","62.24%","100.00%","-","-",""
"P/EPS","69.16","69.16","69.16","35.40","151.19","0.00","-","-"
"YoY %","0.00%","0.00%","95.37%","-76.59%","0.00%","-","-",""
"Horiz. %","45.74%","45.74%","45.74%","23.41%","100.00%","-","-",""
"EY","1.45","1.45","1.45","2.82","0.66","0.00","-","-"
"YoY %","0.00%","0.00%","-48.58%","327.27%","0.00%","-","-",""
"Horiz. %","219.70%","219.70%","219.70%","427.27%","100.00%","-","-",""
"DY","2.14","2.14","2.14","2.50","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","-14.40%","0.00%","0.00%","-","-",""
"Horiz. %","85.60%","85.60%","85.60%","100.00%","-","-","-",""
"P/NAPS","0.70","0.70","0.70","0.80","1.05","0.00","-","-"
"YoY %","0.00%","0.00%","-12.50%","-23.81%","0.00%","-","-",""
"Horiz. %","66.67%","66.67%","66.67%","76.19%","100.00%","-","-",""

