Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,CAGR
"Revenue","0","0","0","15,373","23,458","17,792","26,882","36,133","37,500","38,804","0","-"
"YoY %","0.00%","0.00%","0.00%","-34.47%","31.85%","-33.81%","-25.60%","-3.65%","-3.36%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","39.62%","60.45%","45.85%","69.28%","93.12%","96.64%","100.00%","-",""
"PBT","-1,108","-1,143","-559","54,631","7,328","3,250","-2,125","3,247","4,877","822","0","-"
"YoY %","3.06%","-104.47%","-101.02%","645.51%","125.48%","252.94%","-165.45%","-33.42%","493.31%","0.00%","-",""
"Horiz. %","-134.79%","-139.05%","-68.00%","6,646.11%","891.48%","395.38%","-258.52%","395.01%","593.31%","100.00%","-",""
"Tax","-46","-35","-26","-315","-158","-52","-29","-500","-291","-816","0","-"
"YoY %","-33.33%","-34.62%","91.75%","-99.37%","-203.85%","-79.31%","94.20%","-71.82%","64.34%","0.00%","-",""
"Horiz. %","5.72%","4.29%","3.19%","38.60%","19.36%","6.37%","3.55%","61.27%","35.66%","100.00%","-",""
"NP","-1,154","-1,178","-585","54,316","7,170","3,198","-2,154","2,747","4,586","6","0","-"
"YoY %","1.98%","-101.37%","-101.08%","657.55%","124.20%","248.47%","-178.41%","-40.10%","76,333.33%","0.00%","-",""
"Horiz. %","-19,244.43%","-19,633.33%","-9,750.00%","905,266.69%","119,500.00%","53,300.00%","-35,900.00%","45,783.34%","76,433.33%","100.00%","-",""
"NP to SH","-1,201","-1,180","-620","56,896","4,380","2,200","-2,598","2,098","5,210","6","0","-"
"YoY %","-1.81%","-90.32%","-101.09%","1,199.00%","99.09%","184.68%","-223.83%","-59.73%","86,733.33%","0.00%","-",""
"Horiz. %","-20,022.22%","-19,666.67%","-10,333.33%","948,266.69%","73,000.00%","36,666.66%","-43,300.00%","34,966.66%","86,833.33%","100.00%","-",""
"Tax Rate","-     %","-     %","-     %","0.58    %","2.16    %","1.60    %","-     %","15.40    %","5.97    %","99.27    %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","-73.15%","35.00%","0.00%","0.00%","157.96%","-93.99%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.58%","2.18%","1.61%","0.00%","15.51%","6.01%","100.00%","-",""
"Total Cost","1,154","1,178","585","-38,943","16,288","14,594","29,036","33,386","32,914","38,798","0","-"
"YoY %","-1.98%","101.37%","101.50%","-339.09%","11.61%","-49.74%","-13.03%","1.43%","-15.17%","0.00%","-",""
"Horiz. %","2.98%","3.04%","1.51%","-100.37%","41.98%","37.62%","74.84%","86.05%","84.83%","100.00%","-",""
"Net Worth","6,732","6,732","6,732","6,732","56,503","51,163","35,006","37,699","28,274","22,888","-","-"
"YoY %","0.00%","0.00%","0.00%","-88.09%","10.44%","46.15%","-7.14%","33.33%","23.53%","0.00%","-",""
"Horiz. %","29.41%","29.41%","29.41%","29.41%","246.86%","223.53%","152.94%","164.71%","123.53%","100.00%","-",""
"Div","-","0","-","592","-","-","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","100.00%","-","-","-","-","-","-","-",""
"Div Payout %","-     %","-     %","-     %","1.04    %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","100.00%","-","-","-","-","-","-","-",""
"Net Worth","6,732","6,732","6,732","6,732","56,503","51,163","35,006","37,699","28,274","22,888","-","-"
"YoY %","0.00%","0.00%","0.00%","-88.09%","10.44%","46.15%","-7.14%","33.33%","23.53%","0.00%","-",""
"Horiz. %","29.41%","29.41%","29.41%","29.41%","246.86%","223.53%","152.94%","164.71%","123.53%","100.00%","-",""
"NOSH","134,640","134,640","134,640","134,640","134,533","134,640","134,640","134,640","134,640","134,640","-","-"
"YoY %","0.00%","0.00%","0.00%","0.08%","-0.08%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","100.00%","100.00%","100.00%","100.00%","99.92%","100.00%","100.00%","100.00%","100.00%","100.00%","-",""
"NP Margin","0.00    %","0.00    %","0.00    %","353.32    %","30.57    %","17.97    %","-8.01    %","7.60    %","12.23    %","0.02    %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","1,055.77%","70.12%","324.34%","-205.39%","-37.86%","61,049.99%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","1,766,600.00%","152,850.00%","89,850.00%","-40,050.00%","38,000.00%","61,150.00%","100.00%","-",""
"ROE","-17.85    %","-17.53    %","-9.21    %","845.16    %","7.75    %","4.30    %","-7.42    %","5.57    %","18.43    %","0.03    %","-     %","-"
"YoY %","-1.83%","-90.34%","-101.09%","10,805.29%","80.23%","157.95%","-233.21%","-69.78%","61,333.33%","0.00%","-",""
"Horiz. %","-59,500.00%","-58,433.34%","-30,700.00%","2,817,200.00%","25,833.33%","14,333.33%","-24,733.33%","18,566.67%","61,433.34%","100.00%","-",""
"RPS","-","-","-","11.42","17.44","13.21","19.97","26.84","27.85","28.82","-","-"
"YoY %","0.00%","0.00%","0.00%","-34.52%","32.02%","-33.85%","-25.60%","-3.63%","-3.37%","0.00%","-",""
