Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"01/07/2019","16.70","16.80","+0.10 (0.60%)","BUY","AffinHwang"
"28/06/2019","16.84","17.30","+0.46 (2.73%)","HOLD","MIDF"
"28/06/2019","16.92","14.75","-2.17 (12.83%)","SELL","KENANGA"
"28/06/2019","16.84","19.80","+2.96 (17.58%)","BUY","AffinHwang"
"10/06/2019","16.48","20.40","+3.92 (23.79%)","BUY","AffinHwang"
"02/05/2019","16.30","16.30","0.00 (0.00%)","BUY","AffinHwang"
"29/04/2019","16.54","16.20","-0.34 (2.06%)","HOLD","KENANGA"
"26/04/2019","16.82","16.50","-0.32 (1.90%)","HOLD","MIDF"
"26/04/2019","16.82","15.80","-1.02 (6.06%)","HOLD","KENANGA"

