Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09,CAGR
"Revenue","2,476,436","1,858,600","1,227,219","1,136,336","928,178","886,473","898,946","772,881","789,815","630,983","449,051","405,926","13.07%"
"YoY %","33.24%","51.45%","8.00%","22.43%","4.70%","-1.39%","16.31%","-2.14%","25.17%","40.51%","10.62%","-",""
"Horiz. %","610.07%","457.87%","302.33%","279.94%","228.66%","218.38%","221.46%","190.40%","194.57%","155.44%","110.62%","100.00%",""
"PBT","778,958","421,378","65,210","82,427","106,986","95,529","88,088","93,956","194,881","41,911","26,391","37,240","6.42%"
"YoY %","84.86%","546.19%","-20.89%","-22.96%","11.99%","8.45%","-6.25%","-51.79%","364.99%","58.81%","-29.13%","-",""
"Horiz. %","2,091.72%","1,131.52%","175.11%","221.34%","287.29%","256.52%","236.54%","252.30%","523.31%","112.54%","70.87%","100.00%",""
"Tax","-22,724","-19,322","-18,634","-18,852","-20,613","-14,498","-17,089","-16,686","-16,753","-7,389","-5,601","-5,764","13.92%"
"YoY %","-17.61%","-3.69%","1.16%","8.54%","-42.18%","15.16%","-2.42%","0.40%","-126.73%","-31.92%","2.83%","-",""
"Horiz. %","394.24%","335.22%","323.28%","327.06%","357.62%","251.53%","296.48%","289.49%","290.65%","128.19%","97.17%","100.00%",""
"NP","756,234","402,056","46,576","63,575","86,373","81,031","70,999","77,270","178,128","34,522","20,790","31,476","4.45%"
"YoY %","88.09%","763.23%","-26.74%","-26.39%","6.59%","14.13%","-8.12%","-56.62%","415.98%","66.05%","-33.95%","-",""
"Horiz. %","2,402.57%","1,277.34%","147.97%","201.98%","274.41%","257.44%","225.57%","245.49%","565.92%","109.68%","66.05%","100.00%",""
"NP to SH","251,936","149,907","46,576","63,575","86,373","77,327","63,776","69,669","170,725","32,413","19,442","31,180","4.56%"
"YoY %","68.06%","221.85%","-26.74%","-26.39%","11.70%","21.25%","-8.46%","-59.19%","426.72%","66.72%","-37.65%","-",""
"Horiz. %","808.01%","480.78%","149.38%","203.90%","277.01%","248.00%","204.54%","223.44%","547.55%","103.95%","62.35%","100.00%",""
"Tax Rate","2.92    %","4.59    %","28.58    %","22.87    %","19.27    %","15.18    %","19.40    %","17.76    %","8.60    %","17.63    %","21.22    %","15.48    %","7.05%"
"YoY %","-36.38%","-83.94%","24.97%","18.68%","26.94%","-21.75%","9.23%","106.51%","-51.22%","-16.92%","37.08%","-",""
"Horiz. %","18.86%","29.65%","184.63%","147.74%","124.48%","98.06%","125.32%","114.73%","55.56%","113.89%","137.08%","100.00%",""
"Total Cost","1,720,202","1,456,544","1,180,643","1,072,761","841,805","805,442","827,947","695,611","611,687","596,461","428,261","374,450","13.60%"
"YoY %","18.10%","23.37%","10.06%","27.44%","4.51%","-2.72%","19.02%","13.72%","2.55%","39.28%","14.37%","-",""
"Horiz. %","459.39%","388.98%","315.30%","286.49%","224.81%","215.10%","221.11%","185.77%","163.36%","159.29%","114.37%","100.00%",""
"Net Worth","1,175,207","1,175,207","830,773","793,246","748,493","661,563","520,811","460,613","396,984","228,622","189,951","175,190","18.87%"
"YoY %","0.00%","41.46%","4.73%","5.98%","13.14%","27.03%","13.07%","16.03%","73.64%","20.36%","8.43%","-",""
"Horiz. %","670.82%","670.82%","474.21%","452.79%","427.24%","377.62%","297.28%","262.92%","226.60%","130.50%","108.43%","100.00%",""
"Div","-","7,686","7,686","7,686","7,686","7,686","7,620","7,620","6,096","4,571","4,570","4,570","5.94%"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.87%","0.00%","25.00%","33.35%","0.01%","-0.00%","-",""
"Horiz. %","0.00%","168.15%","168.15%","168.15%","168.15%","168.15%","166.70%","166.70%","133.37%","100.01%","100.00%","100.00%",""
"Div Payout %","-     %","5.13    %","16.50    %","12.09    %","8.90    %","9.94    %","11.95    %","10.94    %","3.57    %","14.10    %","23.51    %","14.66    %","1.32%"
"YoY %","0.00%","-68.91%","36.48%","35.84%","-10.46%","-16.82%","9.23%","206.44%","-74.68%","-40.03%","60.37%","-",""
"Horiz. %","0.00%","34.99%","112.55%","82.47%","60.71%","67.80%","81.51%","74.62%","24.35%","96.18%","160.37%","100.00%",""
"Net Worth","1,175,207","1,175,207","830,773","793,246","748,493","661,563","520,811","460,613","396,984","228,622","189,951","175,190","18.87%"
"YoY %","0.00%","41.46%","4.73%","5.98%","13.14%","27.03%","13.07%","16.03%","73.64%","20.36%","8.43%","-",""
"Horiz. %","670.82%","670.82%","474.21%","452.79%","427.24%","377.62%","297.28%","262.92%","226.60%","130.50%","108.43%","100.00%",""
"NOSH","192,153","192,153","192,153","192,153","192,153","192,153","152,400","152,400","152,404","152,384","152,363","152,366","2.61%"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","26.08%","0.00%","-0.00%","0.01%","0.01%","-0.00%","-",""
"Horiz. %","126.11%","126.11%","126.11%","126.11%","126.11%","126.11%","100.02%","100.02%","100.03%","100.01%","100.00%","100.00%",""
"NP Margin","30.54    %","21.63    %","3.80    %","5.59    %","9.31    %","9.14    %","7.90    %","10.00    %","22.55    %","5.47    %","4.63    %","7.75    %","-7.61%"
"YoY %","41.19%","469.21%","-32.02%","-39.96%","1.86%","15.70%","-21.00%","-55.65%","312.25%","18.14%","-40.26%","-",""
"Horiz. %","394.06%","279.10%","49.03%","72.13%","120.13%","117.94%","101.94%","129.03%","290.97%","70.58%","59.74%","100.00%",""
"ROE","21.44    %","12.76    %","5.61    %","8.01    %","11.54    %","11.69    %","12.25    %","15.13    %","43.01    %","14.18    %","10.24    %","17.80    %","-12.03%"
"YoY %","68.03%","127.45%","-29.96%","-30.59%","-1.28%","-4.57%","-19.04%","-64.82%","203.31%","38.48%","-42.47%","-",""
"Horiz. %","120.45%","71.69%","31.52%","45.00%","64.83%","65.67%","68.82%","85.00%","241.63%","79.66%","57.53%","100.00%",""
"RPS","1,288.78","967.25","638.67","591.37","483.04","461.34","589.86","507.14","518.23","414.07","294.72","266.41","10.20%"
"YoY %","33.24%","51.45%","8.00%","22.43%","4.70%","-21.79%","16.31%","-2.14%","25.16%","40.50%","10.63%","-",""
"Horiz. %","483.76%","363.07%","239.73%","221.98%","181.31%","173.17%","221.41%","190.36%","194.52%","155.43%","110.63%","100.00%",""
"EPS","131.12","78.01","24.24","33.09","44.95","44.34","41.85","45.71","112.02","21.27","12.76","20.46","1.90%"
"YoY %","68.08%","221.82%","-26.75%","-26.38%","1.38%","5.95%","-8.44%","-59.19%","426.66%","66.69%","-37.63%","-",""
"Horiz. %","640.86%","381.28%","118.48%","161.73%","219.70%","216.72%","204.55%","223.41%","547.51%","103.96%","62.37%","100.00%",""
