Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,30/06/15,CAGR
"Revenue","138,972","138,972","138,972","261,474","247,091","241,827","192,518","-7.82%"
"YoY %","0.00%","0.00%","-46.85%","5.82%","2.18%","25.61%","-",""
"Horiz. %","72.19%","72.19%","72.19%","135.82%","128.35%","125.61%","100.00%",""
"PBT","-935","-935","-935","15,097","25,333","32,899","20,284","-"
"YoY %","0.00%","0.00%","-106.19%","-40.41%","-23.00%","62.19%","-",""
"Horiz. %","-4.61%","-4.61%","-4.61%","74.43%","124.89%","162.19%","100.00%",""
"Tax","385","385","385","-3,735","-5,979","-8,574","7,128","-51.77%"
"YoY %","0.00%","0.00%","110.31%","37.53%","30.27%","-220.29%","-",""
"Horiz. %","5.40%","5.40%","5.40%","-52.40%","-83.88%","-120.29%","100.00%",""
"NP","-550","-550","-550","11,362","19,354","24,325","27,412","-"
"YoY %","0.00%","0.00%","-104.84%","-41.29%","-20.44%","-11.26%","-",""
"Horiz. %","-2.01%","-2.01%","-2.01%","41.45%","70.60%","88.74%","100.00%",""
"NP to SH","-550","-550","-550","11,362","19,354","24,325","27,412","-"
"YoY %","0.00%","0.00%","-104.84%","-41.29%","-20.44%","-11.26%","-",""
"Horiz. %","-2.01%","-2.01%","-2.01%","41.45%","70.60%","88.74%","100.00%",""
"Tax Rate","-     %","-     %","-     %","24.74    %","23.60    %","26.06    %","-35.14    %","-"
"YoY %","0.00%","0.00%","0.00%","4.83%","-9.44%","174.16%","-",""
"Horiz. %","0.00%","0.00%","0.00%","-70.40%","-67.16%","-74.16%","100.00%",""
"Total Cost","139,522","139,522","139,522","250,112","227,737","217,502","165,106","-4.12%"
"YoY %","0.00%","0.00%","-44.22%","9.82%","4.71%","31.73%","-",""
"Horiz. %","84.50%","84.50%","84.50%","151.49%","137.93%","131.73%","100.00%",""
"Net Worth","156,771","156,771","156,771","167,072","165,016","154,989","76,220","19.74%"
"YoY %","0.00%","0.00%","-6.17%","1.25%","6.47%","103.34%","-",""
"Horiz. %","205.68%","205.68%","205.68%","219.20%","216.50%","203.34%","100.00%",""
"Div","9,292","9,301","9,292","9,312","11,640","7,963","-","-"
"YoY %","-0.10%","0.10%","-0.21%","-20.00%","46.16%","0.00%","-",""
"Horiz. %","116.68%","116.80%","116.68%","116.93%","146.16%","100.00%","-",""
"Div Payout %","-     %","-     %","-     %","81.96    %","60.14    %","32.74    %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","36.28%","83.69%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","250.34%","183.69%","100.00%","-",""
"Net Worth","156,771","156,771","156,771","167,072","165,016","154,989","76,220","19.74%"
"YoY %","0.00%","0.00%","-6.17%","1.25%","6.47%","103.34%","-",""
"Horiz. %","205.68%","205.68%","205.68%","219.20%","216.50%","203.34%","100.00%",""
"NOSH","387,185","387,185","387,185","388,000","388,000","319,830","310,090","5.70%"
"YoY %","0.00%","0.00%","-0.21%","0.00%","21.31%","3.14%","-",""
"Horiz. %","124.86%","124.86%","124.86%","125.12%","125.12%","103.14%","100.00%",""
"NP Margin","-0.40    %","-0.40    %","-0.40    %","4.35    %","7.83    %","10.06    %","14.24    %","-"
"YoY %","0.00%","0.00%","-109.20%","-44.44%","-22.17%","-29.35%","-",""
"Horiz. %","-2.81%","-2.81%","-2.81%","30.55%","54.99%","70.65%","100.00%",""
"ROE","-0.35    %","-0.35    %","-0.35    %","6.80    %","11.73    %","15.69    %","35.96    %","-"
"YoY %","0.00%","0.00%","-105.15%","-42.03%","-25.24%","-56.37%","-",""
"Horiz. %","-0.97%","-0.97%","-0.97%","18.91%","32.62%","43.63%","100.00%",""
"RPS","35.89","35.89","35.89","67.39","63.68","75.61","62.08","-12.79%"
"YoY %","0.00%","0.00%","-46.74%","5.83%","-15.78%","21.79%","-",""
"Horiz. %","57.81%","57.81%","57.81%","108.55%","102.58%","121.79%","100.00%",""
"EPS","-0.14","-0.14","-0.14","2.93","4.99","7.61","8.84","-"
"YoY %","0.00%","0.00%","-104.78%","-41.28%","-34.43%","-13.91%","-",""
"Horiz. %","-1.58%","-1.58%","-1.58%","33.14%","56.45%","86.09%","100.00%",""
"DPS","2.40","2.40","2.40","2.40","3.00","2.49","0.00","-"
"YoY %","0.00%","0.00%","0.00%","-20.00%","20.48%","0.00%","-",""
"Horiz. %","96.39%","96.39%","96.39%","96.39%","120.48%","100.00%","-",""
"NAPS","0.4049","0.4049","0.4049","0.4306","0.4253","0.4846","0.2458","13.28%"
"YoY %","0.00%","0.00%","-5.97%","1.25%","-12.24%","97.15%","-",""
"Horiz. %","164.73%","164.73%","164.73%","175.18%","173.03%","197.15%","100.00%",""
"RPS","35.82","35.82","35.82","67.39","63.68","62.33","49.62","-7.82%"
"YoY %","0.00%","0.00%","-46.85%","5.83%","2.17%","25.61%","-",""
"Horiz. %","72.19%","72.19%","72.19%","135.81%","128.34%","125.61%","100.00%",""
"EPS","-0.14","-0.14","-0.14","2.93","4.99","6.27","7.06","-"
"YoY %","0.00%","0.00%","-104.78%","-41.28%","-20.41%","-11.19%","-",""
"Horiz. %","-1.98%","-1.98%","-1.98%","41.50%","70.68%","88.81%","100.00%",""
"DPS","2.39","2.40","2.39","2.40","3.00","2.05","0.00","-"
"YoY %","-0.42%","0.42%","-0.42%","-20.00%","46.34%","0.00%","-",""
"Horiz. %","116.59%","117.07%","116.59%","117.07%","146.34%","100.00%","-",""
"NAPS","0.4040","0.4040","0.4040","0.4306","0.4253","0.3995","0.1964","19.74%"
"YoY %","0.00%","0.00%","-6.18%","1.25%","6.46%","103.41%","-",""
"Horiz. %","205.70%","205.70%","205.70%","219.25%","216.55%","203.41%","100.00%",""
"Date","AQR","T4Q","28/06/19","29/06/18","30/06/17","30/06/16","-","-"
"Price","0.3000","0.3000","0.3000","0.5800","1.5500","1.0200","0.0000","-"
"P/RPS","0.84","0.84","0.84","0.86","2.43","1.35","0.00","-"
"YoY %","0.00%","0.00%","-2.33%","-64.61%","80.00%","0.00%","-",""
"Horiz. %","62.22%","62.22%","62.22%","63.70%","180.00%","100.00%","-",""
"P/EPS","-211.19","-211.19","-211.19","19.81","31.07","13.41","0.00","-"
"YoY %","0.00%","0.00%","-1,166.08%","-36.24%","131.69%","0.00%","-",""
"Horiz. %","-1,574.87%","-1,574.87%","-1,574.87%","147.73%","231.69%","100.00%","-",""
"EY","-0.47","-0.47","-0.47","5.05","3.22","7.46","0.00","-"
"YoY %","0.00%","0.00%","-109.31%","56.83%","-56.84%","0.00%","-",""
"Horiz. %","-6.30%","-6.30%","-6.30%","67.69%","43.16%","100.00%","-",""
"DY","8.00","8.00","8.00","4.14","1.94","2.44","0.00","-"
"YoY %","0.00%","0.00%","93.24%","113.40%","-20.49%","0.00%","-",""
"Horiz. %","327.87%","327.87%","327.87%","169.67%","79.51%","100.00%","-",""
"P/NAPS","0.74","0.74","0.74","1.35","3.64","2.10","0.00","-"
"YoY %","0.00%","0.00%","-45.19%","-62.91%","73.33%","0.00%","-",""
"Horiz. %","35.24%","35.24%","35.24%","64.29%","173.33%","100.00%","-",""
"Date","AQR","T4Q","20/08/19","28/08/18","22/08/17","15/08/16","-","-"
"Price","0.5000","0.5000","0.5000","0.6250","1.4200","1.1800","0.0000","-"
"P/RPS","1.39","1.39","1.39","0.93","2.23","1.56","0.00","-"
